EMAREA,EMLEVEL,PARENT
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
Is,1,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
La,1,
o,0,
o,0,
o,0,
water,3,
o,0,
Be(B),2,Be
Be(L),2,Be
Au(A),2,Au
Hu,1,
Mo,1,
He,1,
Au(L),2,Au
water,3,
o,0,
water,3,
o,0,
Bu,1,
Hs(S),2,Hs
Co,1,
o,0,
Al,1,
Hs(A),2,Hs
Mk,1,
Lu,1,
Tu(A),2,Tu
Ar,1,
Sa,1,
o,0,
Ab(N),2,Ab
Si(S),1,
o,0,
Sy,1,
Ag,1,
Ma(M),2,Ma
Cy,1,
Le,1,
Jo,1,
Li,1,
o,0,
Eg,1,
Sn,1,
o,0,
o,0,
o,0,
Ma(S),2,Ma
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
o,0,
water,3,
water,3,
Rm,1,
Sl,1,
BH,1,
Cs,1,
Sk,1,
Ab(A),2,Ab
Gg(D),2,Gg
Gg(A),2,Gg
Gg(G),2,Gg
Rf(CS),2,Rf
Rf(S),2,Rf
Hs(G),2,Hs
Ga(M),2,Ga
It(S),2,It
It(V),2,It
Sg,1,
Br,1,
Da,1,
Fa,1,
Fe,1,
Ir,1,
Lt,1,
Si(M),1,
No,1,
Po,1,
Su,1,
Tn,1,
Ma(E),2,Ma
Rf(K),2,Rf
Az(C),2,Az
Az(L),2,Az
Az(T),2,Az
Az(J),2,Az
Az(P),2,Az
Az(F),2,Az
Az(G),2,Az
Az(M),2,Az
Az(S),2,Az
Bl(I),2,Bl
Bl(M),2,Bl
Bl(N),2,Bl
Ca(F),2,Ca
Ca(G),2,Ca
Ca(C),2,Ca
Ca(H),2,Ca
o,0,
Ca(T),2,Ca
Ca(P),2,Ca
Ca(L),2,Ca
Hb(N),2,Hb
Hb(E),2,Hb
Md(M),2,Md
Md(D),2,Md
Md(P),2,Md
Cg,2,SM
Uk(K),2,Uk
o,0,
Rf(A),2,Rf
o,0,
Rf(N),2,Rf
Rf(E),2,Rf
Rf(C),2,Rf
By,1,
Sb,1,
o,0,
Sk,2,SM
AE(T),2,AE
AE(G),2,AE
Cr,1,
Gr,1,
Tu(E),2,Tu
Rf(NW),2,Rf
Es,1,
Ho,1,
Ge,1,
Ga(C),2,Ga
Ga(F),2,Ga
Uk(U),2,Uk
It(I),2,It
Ct,1,
